timestep,active_agents,evacuated_agents,avg_panic,max_panic,avg_stamina
291,22,53,0.0,0.0,0.0
292,22,53,0.0,0.0,0.0
293,22,53,0.0,0.0,0.0
294,21,54,0.0,0.0,0.0
295,21,54,0.0,0.0,0.0
296,21,54,0.0,0.0,0.0
297,21,54,0.0,0.0,0.0
298,21,54,0.0,0.0,0.0
299,21,54,0.0,0.0,0.0
300,21,54,0.0,0.0,0.0
301,20,55,0.0,0.0,0.0
302,20,55,0.0,0.0,0.0
303,20,55,0.0,0.0,0.0
304,20,55,0.0,0.0,0.0
305,20,55,0.0,0.0,0.0
306,20,55,0.0,0.0,0.0
307,20,55,0.0,0.0,0.0
308,20,55,0.0,0.0,0.0
309,20,55,0.0,0.0,0.0
310,20,55,0.0,0.0,0.0
311,20,55,0.0,0.0,0.0
312,20,55,0.0,0.0,0.0
313,20,55,0.0,0.0,0.0
314,20,55,0.0,0.0,0.0
315,20,55,0.0,0.0,0.0
316,20,55,0.0,0.0,0.0
317,20,55,0.0,0.0,0.0
318,20,55,0.0,0.0,0.0
319,19,56,0.0,0.0,0.0
320,19,56,0.0,0.0,0.0
321,19,56,0.0,0.0,0.0
322,19,56,0.0,0.0,0.0
323,19,56,0.0,0.0,0.0
324,19,56,0.0,0.0,0.0
325,19,56,0.0,0.0,0.0
326,19,56,0.0,0.0,0.0
327,19,56,0.0,0.0,0.0
328,19,56,0.0,0.0,0.0
329,19,56,0.0,0.0,0.0
330,19,56,0.0,0.0,0.0
331,19,56,0.0,0.0,0.0
332,19,56,0.0,0.0,0.0
333,19,56,0.0,0.0,0.0
334,19,56,0.0,0.0,0.0
335,19,56,0.0,0.0,0.0
336,19,56,0.0,0.0,0.0
337,19,56,0.0,0.0,0.0
338,19,56,0.0,0.0,0.0
339,19,56,0.0,0.0,0.0
340,19,56,0.0,0.0,0.0
341,19,56,0.0,0.0,0.0
342,19,56,0.0,0.0,0.0
343,19,56,0.0,0.0,0.0
344,19,56,0.0,0.0,0.0
345,19,56,0.0,0.0,0.0
346,19,56,0.0,0.0,0.0
347,19,56,0.0,0.0,0.0
348,19,56,0.0,0.0,0.0
349,19,56,0.0,0.0,0.0
350,19,56,0.0,0.0,0.0
351,19,56,0.0,0.0,0.0
352,19,56,0.0,0.0,0.0
353,19,56,0.0,0.0,0.0
354,19,56,0.0,0.0,0.0
355,19,56,0.0,0.0,0.0
356,18,57,0.0,0.0,0.0
357,18,57,0.0,0.0,0.0
358,18,57,0.0,0.0,0.0
359,18,57,0.0,0.0,0.0
360,18,57,0.0,0.0,0.0
361,18,57,0.0,0.0,0.0
362,18,57,0.0,0.0,0.0
363,18,57,0.0,0.0,0.0
364,18,57,0.0,0.0,0.0
365,18,57,0.0,0.0,0.0
366,18,57,0.0,0.0,0.0
367,18,57,0.0,0.0,0.0
368,18,57,0.0,0.0,0.0
369,18,57,0.0,0.0,0.0
370,17,58,0.0,0.0,0.0
371,17,58,0.0,0.0,0.0
372,17,58,0.0,0.0,0.0
