timestep,agent_id,x,y,panic_level,evacuated,age,stamina,family_id
5,65,7,69,0.0,False,67,0.95,1
5,66,31,41,0.0,False,10,0.95,1
6,46,85,24,0.0,False,50,0.94,3
6,49,48,45,0.0,False,29,0.94,13
6,50,32,67,0.0,False,12,0.94,0
6,47,6,10,0.0,False,80,0.94,13
6,48,15,0,0.0,False,66,0.94,10
6,44,63,4,0.0,False,31,0.94,2
6,43,15,59,0.0,False,34,0.94,13
6,42,79,64,0.0,False,60,0.94,2
6,41,69,14,0.0,False,59,0.94,10
6,24,0,65,0.0,False,41,0.94,9
6,23,96,23,0.0,False,27,0.94,9
6,51,0,69,0.0,False,32,0.94,9
6,52,18,55,0.0,False,26,0.94,4
6,53,36,93,0.0,False,25,0.94,13
6,38,21,67,0.0,False,47,0.94,11
6,39,90,54,0.0,False,61,0.94,2
6,40,2,38,0.0,False,29,0.94,15
6,28,66,56,0.0,False,51,0.94,0
6,27,81,22,0.0,False,73,0.94,7
6,26,22,30,0.0,False,50,0.94,14
6,25,90,59,0.0,False,80,0.94,7
6,61,21,73,0.0,False,59,0.94,15
6,63,18,93,0.0,False,73,0.94,12
6,64,55,85,0.0,False,76,0.94,0
6,65,6,68,0.0,False,67,0.94,1
6,67,63,66,0.0,False,29,0.94,9
6,66,31,40,0.0,False,10,0.94,1
6,68,91,86,0.0,False,12,0.94,11
6,69,84,88,0.0,False,65,0.94,11
6,57,1,90,0.0,False,37,0.94,1
6,54,78,43,0.0,False,9,0.94,13
6,55,2,13,0.0,False,33,0.94,9
6,70,83,47,0.0,False,13,0.94,4
6,56,51,73,0.0,False,19,0.94,14
6,60,94,52,0.0,False,51,0.94,4
6,58,13,51,0.0,False,60,0.94,13
6,59,21,75,0.0,False,69,0.94,7
6,62,0,49,0.0,False,17,0.94,8
6,71,70,0,0.0,False,56,0.94,13
6,72,72,41,0.0,False,37,0.94,3
6,73,72,2,0.0,False,76,0.94,6
6,74,2,49,0.0,False,63,0.94,3
6,10,19,38,0.0,False,32,0.94,15
6,22,72,43,0.0,False,6,0.94,12
6,37,15,82,0.0,False,79,0.94,7
6,36,52,63,0.0,False,65,0.94,9
6,35,26,29,0.0,False,62,0.94,11
6,34,88,12,0.0,False,12,0.94,2
6,33,54,93,0.0,False,54,0.94,2
6,32,12,10,0.0,False,24,0.94,2
6,31,76,35,0.0,False,42,0.94,10
6,30,29,19,0.0,False,76,0.94,0
6,45,1,12,0.0,False,48,0.94,4
6,12,87,70,0.0,False,50,0.94,7
6,3,16,22,0.0,False,22,0.94,9
6,4,49,49,0.0,False,7,0.94,1
